12452,96810
24208,37177
35419,47113
18867,68875
52495,99904
59757,76985
19153,58328
18867,52432
18867,52774
37177,99245
9018,75289
91158,100549
15039,68324
30130,81963
38703,81963
68324,81963
81963,84597
13621,49651
1324,47113
7873,91352
8002,74191
74191,94019
14667,37177
36042,63689
9772,21638
10233,100549
44623,46365
18867,30059
18867,71303
18867,75160
18867,97494
71303,75160
71303,97494
36383,91580
31819,44327
16361,70718
36825,70718
67675,81963
81963,82715
81963,96625
82715,96625
12039,47113
47113,81870
7530,58751
10583,70292
58328,94607
50459,60183
33367,78517
87445,96076
1789,7624
7624,31819
15715,63689
63689,79039
63689,90660
63974,90660
90660,98668
43039,91580
9018,15039
15039,70292
20164,70292
70292,91158
8296,30251
53267,81963
53267,93451
20444,74191
74191,100079
86371,100079
57355,72087
41263,51570
51237,102559
48992,82715
30525,55033
414,34006
414,99847
38031,99433
9018,31819
61934,67675
67675,74191
68102,93603
51237,52432
20444,77807
47930,102559
9772,78973
8400,18867
18867,94019
51234,100079
83313,100079
42843,55236
33367,84088
18388,98688
33756,68824
49459,63974
80239,91158
9549,46365
47930,52432
47930,53267
52432,53267
35419,37207
29807,70718
19153,68324
4346,15039
18957,83313
10583,72733
16194,32870
15715,20677
50440,83313
509,102069
13029,90660
78300,85766
47930,50357
10583,18867
10583,26479
10583,33367
10583,52774
10583,99433
12835,18867
18867,33367
18867,79226
18867,99433
33367,52774
33367,99433
52774,99433
50918,63689
42741,100079
68324,100079
15039,46365
15039,74191
46365,74191
3584,26563
26563,47113
47113,54679
47113,58649
49617,53267
36825,79446
9772,34194
12039,73538
16194,78517
16194,97494
78517,97494
61877,74191
414,4346
414,78446
70718,92030
9772,18867
38703,47113
33367,79725
9772,52774
9772,99433
20677,73745
47761,47930
